choice,icca,occa,income,ich,och,id,alt,inc.room,inc.cooling,int.cooling
FALSE,0,0,20,24.5,4.09,1,ec,0,0,0
FALSE,27.28,2.95,20,7.86,4.09,1,ecc,0,20,1
FALSE,0,0,20,7.37,3.85,1,er,20,0,0
TRUE,27.28,2.95,20,8.79,3.85,1,erc,20,20,1
FALSE,0,0,20,24.08,2.26,1,gc,0,0,0
FALSE,27.28,2.95,20,9.7,2.26,1,gcc,0,20,1
FALSE,27.28,2.95,20,11.36,1.73,1,hpc,0,20,1
FALSE,0,0,50,32.71,2.69,2,ec,0,0,0
FALSE,26.49,1.63,50,8.69,2.69,2,ecc,0,50,1
FALSE,0,0,50,9.33,3.45,2,er,50,0,0
FALSE,26.49,1.63,50,7.09,3.45,2,erc,50,50,1
FALSE,0,0,50,28,2.3,2,gc,0,0,0
FALSE,26.49,1.63,50,8.77,2.3,2,gcc,0,50,1
TRUE,26.49,1.63,50,9.37,1.65,2,hpc,0,50,1
FALSE,0,0,50,31.68,5.25,3,ec,0,0,0
FALSE,22.63,2.18,50,8.86,5.25,3,ecc,0,50,1
FALSE,0,0,50,8.14,4.35,3,er,50,0,0
FALSE,22.63,2.18,50,6.94,4.35,3,erc,50,50,1
FALSE,0,0,50,25.71,2.28,3,gc,0,0,0
TRUE,22.63,2.18,50,7.43,2.28,3,gcc,0,50,1
FALSE,22.63,2.18,50,11.7,1.44,3,hpc,0,50,1
FALSE,0,0,50,26.73,4.89,4,ec,0,0,0
FALSE,25.33,2.7,50,8.93,4.89,4,ecc,0,50,1
FALSE,0,0,50,8.04,4.85,4,er,50,0,0
FALSE,25.33,2.7,50,7.22,4.85,4,erc,50,50,1
FALSE,0,0,50,29.72,2.62,4,gc,0,0,0
TRUE,25.33,2.7,50,9.18,2.62,4,gcc,0,50,1
FALSE,25.33,2.7,50,12.13,1.93,4,hpc,0,50,1
FALSE,0,0,60,28.35,3.71,5,ec,0,0,0
FALSE,25.45,2.77,60,7.02,3.71,5,ecc,0,60,1
FALSE,0,0,60,7.15,3.64,5,er,60,0,0
FALSE,25.45,2.77,60,8.44,3.64,5,erc,60,60,1
FALSE,0,0,60,23.9,2.52,5,gc,0,0,0
TRUE,25.45,2.77,60,8.05,2.52,5,gcc,0,60,1
FALSE,25.45,2.77,60,10.51,1.63,5,hpc,0,60,1
FALSE,0,0,30,21.37,3.2,6,ec,0,0,0
FALSE,19.93,2.68,30,8.03,3.2,6,ecc,0,30,1
FALSE,0,0,30,8.6,4.3,6,er,30,0,0
FALSE,19.93,2.68,30,6.22,4.3,6,erc,30,30,1
FALSE,0,0,30,27.02,1.99,6,gc,0,0,0
TRUE,19.93,2.68,30,9.32,1.99,6,gcc,0,30,1
FALSE,19.93,2.68,30,12.57,1.3,6,hpc,0,30,1
FALSE,0,0,30,28.63,3.74,7,ec,0,0,0
FALSE,27.04,2.12,30,8.78,3.74,7,ecc,0,30,1
FALSE,0,0,30,6.41,4.02,7,er,30,0,0
FALSE,27.04,2.12,30,7.36,4.02,7,erc,30,30,1
TRUE,0,0,30,22.93,2.06,7,gc,0,0,0
FALSE,27.04,2.12,30,7.11,2.06,7,gcc,0,30,1
FALSE,27.04,2.12,30,12.39,1.52,7,hpc,0,30,1
FALSE,0,0,50,27.86,4.59,8,ec,0,0,0
FALSE,18.1,2.95,50,7.48,4.59,8,ecc,0,50,1
FALSE,0,0,50,7.3,4.11,8,er,50,0,0
FALSE,18.1,2.95,50,6.72,4.11,8,erc,50,50,1
FALSE,0,0,50,26.24,2.42,8,gc,0,0,0
FALSE,18.1,2.95,50,9.38,2.42,8,gcc,0,50,1
TRUE,18.1,2.95,50,8.93,1.63,8,hpc,0,50,1
FALSE,0,0,40,22.6,4.07,9,ec,0,0,0
FALSE,22.56,2.38,40,7.39,4.07,9,ecc,0,40,1
FALSE,0,0,40,7.85,3.53,9,er,40,0,0
FALSE,22.56,2.38,40,8.79,3.53,9,erc,40,40,1
FALSE,0,0,40,23.02,2.36,9,gc,0,0,0
TRUE,22.56,2.38,40,8.08,2.36,9,gcc,0,40,1
FALSE,22.56,2.38,40,11.16,1.3,9,hpc,0,40,1
FALSE,0,0,60,27.51,4.27,10,ec,0,0,0
FALSE,25.75,2.08,60,4.88,4.27,10,ecc,0,60,1
FALSE,0,0,60,6.88,5.14,10,er,60,0,0
FALSE,25.75,2.08,60,7.46,5.14,10,erc,60,60,1
FALSE,0,0,60,19.82,2.24,10,gc,0,0,0
TRUE,25.75,2.08,60,6.24,2.24,10,gcc,0,60,1
FALSE,25.75,2.08,60,8.28,1.77,10,hpc,0,60,1
FALSE,0,0,70,27.29,3.66,11,ec,0,0,0
FALSE,23.66,1.83,70,8.7,3.66,11,ecc,0,70,1
FALSE,0,0,70,9.42,3.46,11,er,70,0,0
FALSE,23.66,1.83,70,9.24,3.46,11,erc,70,70,1
FALSE,0,0,70,23.72,1.85,11,gc,0,0,0
TRUE,23.66,1.83,70,9.63,1.85,11,gcc,0,70,1
FALSE,23.66,1.83,70,12.87,1.28,11,hpc,0,70,1
FALSE,0,0,50,27.68,4.03,12,ec,0,0,0
FALSE,21.24,2.47,50,9.97,4.03,12,ecc,0,50,1
FALSE,0,0,50,6.77,4.76,12,er,50,0,0
FALSE,21.24,2.47,50,9.16,4.76,12,erc,50,50,1
FALSE,0,0,50,23.89,2.61,12,gc,0,0,0
TRUE,21.24,2.47,50,7.41,2.61,12,gcc,0,50,1
FALSE,21.24,2.47,50,10.94,1.38,12,hpc,0,50,1
FALSE,0,0,70,22.93,3.64,13,ec,0,0,0
FALSE,29.06,1.82,70,8.17,3.64,13,ecc,0,70,1
FALSE,0,0,70,5.93,4.08,13,er,70,0,0
FALSE,29.06,1.82,70,7.21,4.08,13,erc,70,70,1
FALSE,0,0,70,21.87,2.29,13,gc,0,0,0
TRUE,29.06,1.82,70,5.84,2.29,13,gcc,0,70,1
FALSE,29.06,1.82,70,8.38,1.7,13,hpc,0,70,1
FALSE,0,0,50,25.59,5.21,14,ec,0,0,0
FALSE,18.06,2.55,50,11.19,5.21,14,ecc,0,50,1
FALSE,0,0,50,9.3,3.8,14,er,50,0,0
FALSE,18.06,2.55,50,7.87,3.8,14,erc,50,50,1
FALSE,0,0,50,25.88,2.14,14,gc,0,0,0
TRUE,18.06,2.55,50,8.02,2.14,14,gcc,0,50,1
FALSE,18.06,2.55,50,11.31,1.61,14,hpc,0,50,1
FALSE,0,0,50,30.49,4.2,15,ec,0,0,0
FALSE,20.8,2.81,50,9.54,4.2,15,ecc,0,50,1
FALSE,0,0,50,8.21,4.43,15,er,50,0,0
FALSE,20.8,2.81,50,6.97,4.43,15,erc,50,50,1
FALSE,0,0,50,26.44,1.95,15,gc,0,0,0
TRUE,20.8,2.81,50,9.28,1.95,15,gcc,0,50,1
FALSE,20.8,2.81,50,12.67,1.75,15,hpc,0,50,1
FALSE,0,0,60,25.13,3.75,16,ec,0,0,0
FALSE,24.98,1.89,60,9.2,3.75,16,ecc,0,60,1
FALSE,0,0,60,9.84,4.18,16,er,60,0,0
FALSE,24.98,1.89,60,7.09,4.18,16,erc,60,60,1
FALSE,0,0,60,22.86,2.32,16,gc,0,0,0
TRUE,24.98,1.89,60,8.33,2.32,16,gcc,0,60,1
FALSE,24.98,1.89,60,10.12,1.18,16,hpc,0,60,1
FALSE,0,0,60,25.91,4.71,17,ec,0,0,0
FALSE,25.63,2.61,60,6.57,4.71,17,ecc,0,60,1
FALSE,0,0,60,6.79,4.44,17,er,60,0,0
FALSE,25.63,2.61,60,7.88,4.44,17,erc,60,60,1
FALSE,0,0,60,17.73,2.05,17,gc,0,0,0
TRUE,25.63,2.61,60,6.12,2.05,17,gcc,0,60,1
FALSE,25.63,2.61,60,9.57,1.46,17,hpc,0,60,1
FALSE,0,0,20,16.64,4.05,18,ec,0,0,0
FALSE,22.9,2.63,20,6.22,4.05,18,ecc,0,20,1
FALSE,0,0,20,7.69,3.68,18,er,20,0,0
FALSE,22.9,2.63,20,6.56,3.68,18,erc,20,20,1
TRUE,0,0,20,17.16,2.3,18,gc,0,0,0
FALSE,22.9,2.63,20,5.63,2.3,18,gcc,0,20,1
FALSE,22.9,2.63,20,8.25,1.71,18,hpc,0,20,1
FALSE,0,0,30,25.55,3.7,19,ec,0,0,0
FALSE,25.5,2.23,30,8.33,3.7,19,ecc,0,30,1
FALSE,0,0,30,8.59,5.27,19,er,30,0,0
FALSE,25.5,2.23,30,7.3,5.27,19,erc,30,30,1
FALSE,0,0,30,21.72,2.1,19,gc,0,0,0
TRUE,25.5,2.23,30,6.92,2.1,19,gcc,0,30,1
