y,price,contract,local,wknown,tod,seasonal,gid,pid,_x1,_x2,_x3,__000000,__00000T,__00000F,__00000G,__00000E,__00000N,__00000I,__00000J,__00000K
0,7,5,0,1,0,0,1,1,27,29,15,1,1,0,1,,,,.9728108947520394,7
0,0,0,0,0,0,1,1,1,27,29,15,3,1,0,1,,,,.9728108947520394,7
0,9,1,1,0,0,0,1,1,27,29,15,2,1,0,1,,,,.9728108947520394,7
1,0,5,0,1,1,0,1,1,27,29,15,4,1,0,1,,1,,.9728108947520394,7
0,9,5,0,1,0,0,2,1,27,29,15,6,1,0,1,,,,.9728108947520394,7
0,0,5,0,0,0,1,2,1,27,29,15,8,1,0,1,,,,.9728108947520394,7
0,7,0,0,1,0,0,2,1,27,29,15,5,1,0,1,,,,.9728108947520394,7
1,0,1,1,0,1,0,2,1,27,29,15,7,1,0,1,,1,,.9728108947520394,7
0,0,0,0,1,1,0,3,1,27,29,15,11,1,0,1,,,,.9728108947520394,7
0,9,5,0,0,0,0,3,1,27,29,15,9,1,0,1,,,,.9728108947520394,7
0,7,1,0,1,0,0,3,1,27,29,15,10,1,0,1,,,,.9728108947520394,7
1,0,0,1,0,0,1,3,1,27,29,15,12,1,0,1,,1,,.9728108947520394,7
0,9,1,0,0,0,0,4,1,27,29,15,14,1,0,1,,,,.9728108947520394,7
0,7,0,1,0,0,0,4,1,27,29,15,15,1,0,1,,,,.9728108947520394,7
0,0,1,0,1,0,1,4,1,27,29,15,13,1,0,1,,,,.9728108947520394,7
1,0,5,0,1,1,0,4,1,27,29,15,16,1,0,1,,1,,.9728108947520394,7
0,9,1,0,1,0,0,5,1,27,29,15,18,1,0,1,,,,.9728108947520394,7
0,7,5,0,1,0,0,5,1,27,29,15,20,1,0,1,,,,.9728108947520394,7
0,0,0,0,0,0,1,5,1,27,29,15,19,1,0,1,,,,.9728108947520394,7
1,0,0,1,0,1,0,5,1,27,29,15,17,1,0,1,,1,,.9728108947520394,7
0,0,0,0,0,0,1,6,1,27,29,15,21,1,0,1,,,,.9728108947520394,7
0,9,0,0,0,0,0,6,1,27,29,15,22,1,0,1,,,,.9728108947520394,7
0,0,1,1,0,1,0,6,1,27,29,15,23,1,0,1,,,,.9728108947520394,7
1,7,5,0,1,0,0,6,1,27,29,15,24,1,0,1,,1,,.9728108947520394,7
0,7,5,1,0,0,0,7,1,27,29,15,28,1,0,1,,,,.9728108947520394,7
0,9,0,0,0,0,0,7,1,27,29,15,26,1,0,1,,,,.9728108947520394,7
0,0,1,0,0,1,0,7,1,27,29,15,27,1,0,1,,,,.9728108947520394,7
1,0,5,0,1,0,1,7,1,27,29,15,25,1,0,1,,1,,.9728108947520394,7
0,0,5,0,0,1,0,8,1,27,29,15,32,1,0,1,,,,.9728108947520394,7
0,9,0,0,1,0,0,8,1,27,29,15,29,1,0,1,,,,.9728108947520394,7
0,7,1,0,0,0,0,8,1,27,29,15,30,1,0,1,,,,.9728108947520394,7
1,0,1,1,0,0,1,8,1,27,29,15,31,1,0,1,,1,,.9728108947520394,7
0,9,0,0,1,0,0,9,1,27,29,15,35,1,0,1,,,,.9728108947520394,7
0,0,5,0,0,1,0,9,1,27,29,15,34,1,0,1,,,,.9728108947520394,7
0,7,1,0,0,0,0,9,1,27,29,15,36,1,0,1,,,,.9728108947520394,7
1,0,5,0,1,0,1,9,1,27,29,15,33,1,0,1,,1,,.9728108947520394,7
0,0,1,0,1,0,1,10,1,27,29,15,37,1,0,1,,,,.9728108947520394,7
0,9,0,0,1,0,0,10,1,27,29,15,40,1,0,1,,,,.9728108947520394,7
0,7,0,0,0,0,0,10,1,27,29,15,39,1,0,1,,,,.9728108947520394,7
1,0,5,1,0,1,0,10,1,27,29,15,38,1,0,1,,1,,.9728108947520394,7
0,9,5,0,1,0,0,11,1,27,29,15,41,1,0,1,,,,.9728108947520394,7
0,7,1,0,0,0,0,11,1,27,29,15,44,1,0,1,,,,.9728108947520394,7
0,0,0,0,1,1,0,11,1,27,29,15,42,1,0,1,,,,.9728108947520394,7
1,0,5,1,0,0,1,11,1,27,29,15,43,1,0,1,,1,,.9728108947520394,7
0,7,5,0,0,0,0,12,1,27,29,15,46,1,0,1,,,,.9728108947520394,7
0,9,5,1,0,0,0,12,1,27,29,15,47,1,0,1,,,,.9728108947520394,7
0,0,1,0,1,1,0,12,1,27,29,15,45,1,0,1,,,,.9728108947520394,7
1,0,0,0,1,0,1,12,1,27,29,15,48,1,0,1,1,1,.9728108947520394,.9728108947520394,7
0,0,0,1,0,0,1,13,2,22,16,22,49,1,0,1,,,,.7449063958573526,6
0,0,1,0,0,1,0,13,2,22,16,22,51,1,0,1,,,,.7449063958573526,6
0,7,5,0,1,0,0,13,2,22,16,22,50,1,0,1,,,,.7449063958573526,6
1,9,1,0,1,0,0,13,2,22,16,22,52,1,0,1,,1,,.7449063958573526,6
0,0,1,0,1,1,0,14,2,22,16,22,54,1,0,1,,,,.7449063958573526,6
0,7,5,0,0,0,0,14,2,22,16,22,53,1,0,1,,,,.7449063958573526,6
0,0,0,0,1,0,1,14,2,22,16,22,55,1,0,1,,,,.7449063958573526,6
1,9,5,1,0,0,0,14,2,22,16,22,56,1,0,1,,1,,.7449063958573526,6
0,0,0,1,0,0,1,15,2,22,16,22,60,1,0,1,,,,.7449063958573526,6
0,0,1,0,0,1,0,15,2,22,16,22,58,1,0,1,,,,.7449063958573526,6
0,9,1,0,0,0,0,15,2,22,16,22,57,1,0,1,,,,.7449063958573526,6
1,7,5,0,1,0,0,15,2,22,16,22,59,1,0,1,,1,,.7449063958573526,6
0,7,5,0,1,0,0,16,2,22,16,22,61,1,0,1,,,,.7449063958573526,6
0,9,1,0,0,0,0,16,2,22,16,22,62,1,0,1,,,,.7449063958573526,6
0,0,1,1,0,0,1,16,2,22,16,22,64,1,0,1,,,,.7449063958573526,6
1,0,0,0,1,1,0,16,2,22,16,22,63,1,0,1,,1,,.7449063958573526,6
0,0,0,0,0,0,1,17,2,22,16,22,67,1,0,1,,,,.7449063958573526,6
0,0,5,0,1,1,0,17,2,22,16,22,68,1,0,1,,,,.7449063958573526,6
0,9,1,1,0,0,0,17,2,22,16,22,66,1,0,1,,,,.7449063958573526,6
1,7,5,0,1,0,0,17,2,22,16,22,65,1,0,1,,1,,.7449063958573526,6
0,0,1,1,0,1,0,18,2,22,16,22,71,1,0,1,,,,.7449063958573526,6
0,9,5,0,1,0,0,18,2,22,16,22,70,1,0,1,,,,.7449063958573526,6
0,0,5,0,0,0,1,18,2,22,16,22,72,1,0,1,,,,.7449063958573526,6
1,7,0,0,1,0,0,18,2,22,16,22,69,1,0,1,,1,,.7449063958573526,6
0,9,5,0,0,0,0,19,2,22,16,22,73,1,0,1,,,,.7449063958573526,6
0,0,0,0,1,1,0,19,2,22,16,22,75,1,0,1,,,,.7449063958573526,6
0,0,0,1,0,0,1,19,2,22,16,22,76,1,0,1,,,,.7449063958573526,6
1,7,1,0,1,0,0,19,2,22,16,22,74,1,0,1,,1,,.7449063958573526,6
0,0,1,0,1,0,1,20,2,22,16,22,77,1,0,1,,,,.7449063958573526,6
0,0,5,0,1,1,0,20,2,22,16,22,80,1,0,1,,,,.7449063958573526,6
0,9,1,0,0,0,0,20,2,22,16,22,78,1,0,1,,,,.7449063958573526,6
1,7,0,1,0,0,0,20,2,22,16,22,79,1,0,1,,1,,.7449063958573526,6
0,0,0,1,0,1,0,21,2,22,16,22,81,1,0,1,,,,.7449063958573526,6
0,0,0,0,0,0,1,21,2,22,16,22,83,1,0,1,,,,.7449063958573526,6
0,9,1,0,1,0,0,21,2,22,16,22,82,1,0,1,,,,.7449063958573526,6
1,7,5,0,1,0,0,21,2,22,16,22,84,1,0,1,,1,,.7449063958573526,6
0,0,1,1,0,1,0,22,2,22,16,22,87,1,0,1,,,,.7449063958573526,6
0,0,0,0,0,0,1,22,2,22,16,22,85,1,0,1,,,,.7449063958573526,6
0,9,0,0,0,0,0,22,2,22,16,22,86,1,0,1,,,,.7449063958573526,6
1,7,5,0,1,0,0,22,2,22,16,22,88,1,0,1,,1,,.7449063958573526,6
0,0,1,0,0,1,0,23,2,22,16,22,91,1,0,1,,,,.7449063958573526,6
0,0,5,0,1,0,1,23,2,22,16,22,89,1,0,1,,,,.7449063958573526,6
0,9,0,0,0,0,0,23,2,22,16,22,90,1,0,1,,,,.7449063958573526,6
1,7,5,1,0,0,0,23,2,22,16,22,92,1,0,1,,1,,.7449063958573526,6
0,0,5,0,0,1,0,24,2,22,16,22,96,1,0,1,,,,.7449063958573526,6
0,0,1,1,0,0,1,24,2,22,16,22,95,1,0,1,,,,.7449063958573526,6
0,9,0,0,1,0,0,24,2,22,16,22,93,1,0,1,,,,.7449063958573526,6
1,7,1,0,0,0,0,24,2,22,16,22,94,1,0,1,1,1,.7449063958573526,.7449063958573526,6
0,0,0,1,0,1,0,25,3,30,22,7,97,1,0,1,,,,.6126744898605961,5
0,0,5,0,1,0,1,25,3,30,22,7,100,1,0,1,,,,.6126744898605961,5
0,9,5,0,1,0,0,25,3,30,22,7,99,1,0,1,,,,.6126744898605961,5
1,7,1,0,0,0,0,25,3,30,22,7,98,1,0,1,,1,,.6126744898605961,5
0,9,5,0,1,0,0,26,3,30,22,7,101,1,0,1,,,,.6126744898605961,5
0,0,0,0,0,0,1,26,3,30,22,7,102,1,0,1,,,,.6126744898605961,5
0,0,0,1,0,1,0,26,3,30,22,7,104,1,0,1,,,,.6126744898605961,5
1,7,1,0,0,0,0,26,3,30,22,7,103,1,0,1,,1,,.6126744898605961,5
0,9,1,0,0,0,0,27,3,30,22,7,108,1,0,1,,,,.6126744898605961,5
0,0,0,0,1,1,0,27,3,30,22,7,106,1,0,1,,,,.6126744898605961,5
0,0,5,0,1,0,1,27,3,30,22,7,107,1,0,1,,,,.6126744898605961,5
1,7,0,0,0,0,0,27,3,30,22,7,105,1,0,1,,1,,.6126744898605961,5
0,7,5,1,0,0,0,28,3,30,22,7,109,1,0,1,,,,.6126744898605961,5
0,0,5,0,0,1,0,28,3,30,22,7,111,1,0,1,,,,.6126744898605961,5
0,0,1,0,0,0,1,28,3,30,22,7,110,1,0,1,,,,.6126744898605961,5
1,9,0,0,1,0,0,28,3,30,22,7,112,1,0,1,,1,,.6126744898605961,5
0,9,0,0,1,0,0,29,3,30,22,7,115,1,0,1,,,,.6126744898605961,5
0,0,0,0,1,0,1,29,3,30,22,7,113,1,0,1,,,,.6126744898605961,5
0,0,1,0,0,1,0,29,3,30,22,7,114,1,0,1,,,,.6126744898605961,5
1,7,5,1,0,0,0,29,3,30,22,7,116,1,0,1,,1,,.6126744898605961,5
0,0,1,0,0,1,0,30,3,30,22,7,118,1,0,1,,,,.6126744898605961,5
0,9,5,1,0,0,0,30,3,30,22,7,119,1,0,1,,,,.6126744898605961,5
0,0,5,0,0,0,1,30,3,30,22,7,117,1,0,1,,,,.6126744898605961,5
1,7,0,0,1,0,0,30,3,30,22,7,120,1,0,1,,1,,.6126744898605961,5
0,0,5,1,0,0,1,31,3,30,22,7,123,1,0,1,,,,.6126744898605961,5
0,9,5,0,1,0,0,31,3,30,22,7,121,1,0,1,,,,.6126744898605961,5
0,0,0,0,1,1,0,31,3,30,22,7,122,1,0,1,,,,.6126744898605961,5
1,7,1,0,0,0,0,31,3,30,22,7,124,1,0,1,,1,,.6126744898605961,5
0,7,0,1,0,0,0,32,3,30,22,7,126,1,0,1,,,,.6126744898605961,5
0,0,5,0,1,1,0,32,3,30,22,7,127,1,0,1,,,,.6126744898605961,5
0,0,0,0,0,0,1,32,3,30,22,7,128,1,0,1,,,,.6126744898605961,5
1,9,1,0,1,0,0,32,3,30,22,7,125,1,0,1,,1,,.6126744898605961,5
0,0,5,0,1,0,1,33,3,30,22,7,132,1,0,1,,,,.6126744898605961,5
0,0,0,0,0,1,0,33,3,30,22,7,129,1,0,1,,,,.6126744898605961,5
0,0,5,0,0,0,1,33,3,30,22,7,131,1,0,1,,,,.6126744898605961,5
1,9,1,0,0,0,0,33,3,30,22,7,130,1,0,1,,1,,.6126744898605961,5
0,9,5,0,1,0,0,34,3,30,22,7,133,1,0,1,,,,.6126744898605961,5
0,0,5,0,0,0,1,34,3,30,22,7,134,1,0,1,,,,.6126744898605961,5
0,0,0,0,0,1,0,34,3,30,22,7,136,1,0,1,,,,.6126744898605961,5
1,7,1,0,0,0,0,34,3,30,22,7,135,1,0,1,,1,,.6126744898605961,5
0,0,5,1,0,0,1,35,3,30,22,7,139,1,0,1,,,,.6126744898605961,5
0,9,5,0,1,0,0,35,3,30,22,7,140,1,0,1,,,,.6126744898605961,5
0,0,0,0,0,1,0,35,3,30,22,7,138,1,0,1,,,,.6126744898605961,5
1,7,1,0,0,0,0,35,3,30,22,7,137,1,0,1,,1,,.6126744898605961,5
0,0,0,0,0,1,0,36,3,30,22,7,141,1,0,1,,,,.6126744898605961,5
0,9,0,0,0,0,0,36,3,30,22,7,144,1,0,1,,,,.6126744898605961,5
0,0,1,0,1,0,1,36,3,30,22,7,142,1,0,1,,,,.6126744898605961,5
1,7,5,0,0,0,0,36,3,30,22,7,143,1,0,1,1,1,.6126744898605961,.6126744898605961,5
0,9,0,0,0,0,0,37,4,29,41,20,145,1,0,1,,,,.5077347914762181,4
0,0,1,1,0,1,0,37,4,29,41,20,147,1,0,1,,,,.5077347914762181,4
0,7,5,0,1,0,0,37,4,29,41,20,148,1,0,1,,,,.5077347914762181,4
1,0,0,0,1,0,1,37,4,29,41,20,146,1,0,1,,1,,.5077347914762181,4
0,0,0,0,0,1,0,38,4,29,41,20,149,1,0,1,,,,.5077347914762181,4
0,9,1,0,1,0,0,38,4,29,41,20,152,1,0,1,,,,.5077347914762181,4
0,7,5,0,0,0,0,38,4,29,41,20,150,1,0,1,,,,.5077347914762181,4
1,0,0,1,0,0,1,38,4,29,41,20,151,1,0,1,,1,,.5077347914762181,4
0,9,5,0,1,0,0,39,4,29,41,20,154,1,0,1,,,,.5077347914762181,4
0,0,5,0,1,0,1,39,4,29,41,20,155,1,0,1,,,,.5077347914762181,4
0,7,0,0,0,0,0,39,4,29,41,20,156,1,0,1,,,,.5077347914762181,4
1,0,1,0,0,1,0,39,4,29,41,20,153,1,0,1,,1,,.5077347914762181,4
0,9,0,1,0,0,0,40,4,29,41,20,157,1,0,1,,,,.5077347914762181,4
0,7,5,0,0,0,0,40,4,29,41,20,158,1,0,1,,,,.5077347914762181,4
0,0,1,0,0,1,0,40,4,29,41,20,160,1,0,1,,,,.5077347914762181,4
1,0,1,0,1,0,1,40,4,29,41,20,159,1,0,1,,1,,.5077347914762181,4
0,9,5,0,1,0,0,41,4,29,41,20,163,1,0,1,,,,.5077347914762181,4
0,7,1,0,0,0,0,41,4,29,41,20,162,1,0,1,,,,.5077347914762181,4
0,0,0,1,0,1,0,41,4,29,41,20,161,1,0,1,,,,.5077347914762181,4
1,0,5,0,1,0,1,41,4,29,41,20,164,1,0,1,,1,,.5077347914762181,4
0,9,5,0,1,0,0,42,4,29,41,20,165,1,0,1,,,,.5077347914762181,4
0,7,1,0,0,0,0,42,4,29,41,20,167,1,0,1,,,,.5077347914762181,4
0,0,0,0,0,0,1,42,4,29,41,20,166,1,0,1,,,,.5077347914762181,4
1,0,0,1,0,1,0,42,4,29,41,20,168,1,0,1,,1,,.5077347914762181,4
0,9,1,0,0,0,0,43,4,29,41,20,172,1,0,1,,,,.5077347914762181,4
0,0,5,0,1,0,1,43,4,29,41,20,171,1,0,1,,,,.5077347914762181,4
0,0,0,0,1,1,0,43,4,29,41,20,170,1,0,1,,,,.5077347914762181,4
1,7,0,0,0,0,0,43,4,29,41,20,169,1,0,1,,1,,.5077347914762181,4
0,0,1,0,0,0,1,44,4,29,41,20,174,1,0,1,,,,.5077347914762181,4
0,0,5,0,0,1,0,44,4,29,41,20,175,1,0,1,,,,.5077347914762181,4
0,7,5,1,0,0,0,44,4,29,41,20,173,1,0,1,,,,.5077347914762181,4
1,9,0,0,1,0,0,44,4,29,41,20,176,1,0,1,,1,,.5077347914762181,4
0,0,1,0,0,1,0,45,4,29,41,20,178,1,0,1,,,,.5077347914762181,4
0,9,0,0,1,0,0,45,4,29,41,20,179,1,0,1,,,,.5077347914762181,4
0,7,5,1,0,0,0,45,4,29,41,20,180,1,0,1,,,,.5077347914762181,4
1,0,0,0,1,0,1,45,4,29,41,20,177,1,0,1,,1,,.5077347914762181,4
0,0,1,0,0,1,0,46,4,29,41,20,182,1,0,1,,,,.5077347914762181,4
0,0,5,0,0,0,1,46,4,29,41,20,181,1,0,1,,,,.5077347914762181,4
0,9,5,1,0,0,0,46,4,29,41,20,183,1,0,1,,,,.5077347914762181,4
1,7,0,0,1,0,0,46,4,29,41,20,184,1,0,1,,1,,.5077347914762181,4
0,0,5,1,0,0,1,47,4,29,41,20,187,1,0,1,,,,.5077347914762181,4
0,9,5,0,1,0,0,47,4,29,41,20,185,1,0,1,,,,.5077347914762181,4
0,0,0,0,1,1,0,47,4,29,41,20,186,1,0,1,,,,.5077347914762181,4
1,7,1,0,0,0,0,47,4,29,41,20,188,1,0,1,,1,,.5077347914762181,4
0,0,0,0,0,0,1,48,4,29,41,20,192,1,0,1,,,,.5077347914762181,4
0,0,5,0,1,1,0,48,4,29,41,20,191,1,0,1,,,,.5077347914762181,4
0,9,1,0,1,0,0,48,4,29,41,20,189,1,0,1,,,,.5077347914762181,4
1,7,0,1,0,0,0,48,4,29,41,20,190,1,0,1,1,1,.5077347914762181,.5077347914762181,4
0,0,0,0,0,0,1,49,5,21,23,19,195,1,0,1,,,,.0925136271887098,1
0,9,1,1,0,0,0,49,5,21,23,19,194,1,0,1,,,,.0925136271887098,1
0,0,5,0,1,1,0,49,5,21,23,19,196,1,0,1,,,,.0925136271887098,1
1,7,5,0,1,0,0,49,5,21,23,19,193,1,0,1,,1,,.0925136271887098,1
0,9,5,0,1,0,0,50,5,21,23,19,198,1,0,1,,,,.0925136271887098,1
0,0,1,1,0,1,0,50,5,21,23,19,199,1,0,1,,,,.0925136271887098,1
0,0,5,0,0,0,1,50,5,21,23,19,200,1,0,1,,,,.0925136271887098,1
1,7,0,0,1,0,0,50,5,21,23,19,197,1,0,1,,1,,.0925136271887098,1
0,9,5,0,0,0,0,51,5,21,23,19,201,1,0,1,,,,.0925136271887098,1
0,0,0,0,1,1,0,51,5,21,23,19,203,1,0,1,,,,.0925136271887098,1
0,0,0,1,0,0,1,51,5,21,23,19,204,1,0,1,,,,.0925136271887098,1
1,7,1,0,1,0,0,51,5,21,23,19,202,1,0,1,,1,,.0925136271887098,1
0,0,1,0,1,0,1,52,5,21,23,19,205,1,0,1,,,,.0925136271887098,1
0,9,1,0,0,0,0,52,5,21,23,19,206,1,0,1,,,,.0925136271887098,1
0,0,5,0,1,1,0,52,5,21,23,19,208,1,0,1,,,,.0925136271887098,1
1,7,0,1,0,0,0,52,5,21,23,19,207,1,0,1,,1,,.0925136271887098,1
0,9,1,0,1,0,0,53,5,21,23,19,210,1,0,1,,,,.0925136271887098,1
0,0,0,1,0,1,0,53,5,21,23,19,209,1,0,1,,,,.0925136271887098,1
0,0,0,0,0,0,1,53,5,21,23,19,211,1,0,1,,,,.0925136271887098,1
1,7,5,0,1,0,0,53,5,21,23,19,212,1,0,1,,1,,.0925136271887098,1
0,9,0,0,0,0,0,54,5,21,23,19,214,1,0,1,,,,.0925136271887098,1
0,0,0,0,0,0,1,54,5,21,23,19,213,1,0,1,,,,.0925136271887098,1
0,0,1,1,0,1,0,54,5,21,23,19,215,1,0,1,,,,.0925136271887098,1
1,7,5,0,1,0,0,54,5,21,23,19,216,1,0,1,,1,,.0925136271887098,1
0,0,1,0,0,1,0,55,5,21,23,19,219,1,0,1,,,,.0925136271887098,1
0,9,0,0,0,0,0,55,5,21,23,19,218,1,0,1,,,,.0925136271887098,1
0,0,5,0,1,0,1,55,5,21,23,19,217,1,0,1,,,,.0925136271887098,1
1,7,5,1,0,0,0,55,5,21,23,19,220,1,0,1,,1,,.0925136271887098,1
0,0,1,1,0,0,1,56,5,21,23,19,223,1,0,1,,,,.0925136271887098,1
0,9,0,0,1,0,0,56,5,21,23,19,221,1,0,1,,,,.0925136271887098,1
0,0,5,0,0,1,0,56,5,21,23,19,224,1,0,1,,,,.0925136271887098,1
1,7,1,0,0,0,0,56,5,21,23,19,222,1,0,1,,1,,.0925136271887098,1
0,9,0,0,1,0,0,57,5,21,23,19,227,1,0,1,,,,.0925136271887098,1
0,0,5,0,1,0,1,57,5,21,23,19,225,1,0,1,,,,.0925136271887098,1
0,0,5,0,0,1,0,57,5,21,23,19,226,1,0,1,,,,.0925136271887098,1
1,7,1,0,0,0,0,57,5,21,23,19,228,1,0,1,,1,,.0925136271887098,1
0,0,5,1,0,1,0,58,5,21,23,19,230,1,0,1,,,,.0925136271887098,1
0,9,0,0,1,0,0,58,5,21,23,19,232,1,0,1,,,,.0925136271887098,1
0,0,1,0,1,0,1,58,5,21,23,19,229,1,0,1,,,,.0925136271887098,1
1,7,0,0,0,0,0,58,5,21,23,19,231,1,0,1,,1,,.0925136271887098,1
0,9,5,0,1,0,0,59,5,21,23,19,233,1,0,1,,,,.0925136271887098,1
0,0,0,0,1,1,0,59,5,21,23,19,234,1,0,1,,,,.0925136271887098,1
0,0,5,1,0,0,1,59,5,21,23,19,235,1,0,1,,,,.0925136271887098,1
1,7,1,0,0,0,0,59,5,21,23,19,236,1,0,1,,1,,.0925136271887098,1
0,9,5,1,0,0,0,60,5,21,23,19,239,1,0,1,,,,.0925136271887098,1
0,0,0,0,1,0,1,60,5,21,23,19,240,1,0,1,,,,.0925136271887098,1
0,0,1,0,1,1,0,60,5,21,23,19,237,1,0,1,,,,.0925136271887098,1
1,7,5,0,0,0,0,60,5,21,23,19,238,1,0,1,1,1,.0925136271887098,.0925136271887098,1
0,0,1,0,1,0,1,61,6,24,22,21,242,1,0,1,,,,.6048954872417208,5
0,9,0,0,0,0,0,61,6,24,22,21,244,1,0,1,,,,.6048954872417208,5
0,0,0,0,0,1,0,61,6,24,22,21,243,1,0,1,,,,.6048954872417208,5
1,7,5,1,0,0,0,61,6,24,22,21,241,1,0,1,,1,,.6048954872417208,5
0,0,5,0,1,1,0,62,6,24,22,21,245,1,0,1,,,,.6048954872417208,5
