choice,pf,cl,loc,wk,tod,seas,chid,id,x1,samplesplit
0,7,5,0,1,0,0,1,1,-3,5
0,9,1,1,0,0,0,1,1,-3,5
0,0,0,0,0,0,1,1,1,-3,5
1,0,5,0,1,1,0,1,1,-3,5
0,7,0,0,1,0,0,2,1,-3,5
0,9,5,0,1,0,0,2,1,-3,5
1,0,1,1,0,1,0,2,1,-3,5
0,0,5,0,0,0,1,2,1,-3,5
0,9,5,0,0,0,0,3,1,-3,5
0,7,1,0,1,0,0,3,1,-3,5
0,0,0,0,1,1,0,3,1,-3,5
1,0,0,1,0,0,1,3,1,-3,5
0,0,1,0,1,0,1,4,1,-3,5
0,9,1,0,0,0,0,4,1,-3,5
0,7,0,1,0,0,0,4,1,-3,5
1,0,5,0,1,1,0,4,1,-3,5
1,0,0,1,0,1,0,5,1,-3,5
0,9,1,0,1,0,0,5,1,-3,5
0,0,0,0,0,0,1,5,1,-3,5
0,7,5,0,1,0,0,5,1,-3,5
0,0,0,0,0,0,1,6,1,-3,5
0,9,0,0,0,0,0,6,1,-3,5
0,0,1,1,0,1,0,6,1,-3,5
1,7,5,0,1,0,0,6,1,-3,5
1,0,5,0,1,0,1,7,1,-3,5
0,9,0,0,0,0,0,7,1,-3,5
0,0,1,0,0,1,0,7,1,-3,5
0,7,5,1,0,0,0,7,1,-3,5
0,9,0,0,1,0,0,8,1,-3,5
0,7,1,0,0,0,0,8,1,-3,5
1,0,1,1,0,0,1,8,1,-3,5
0,0,5,0,0,1,0,8,1,-3,5
1,0,5,0,1,0,1,9,1,-3,5
0,0,5,0,0,1,0,9,1,-3,5
0,9,0,0,1,0,0,9,1,-3,5
0,7,1,0,0,0,0,9,1,-3,5
0,0,1,0,1,0,1,10,1,-3,5
1,0,5,1,0,1,0,10,1,-3,5
0,7,0,0,0,0,0,10,1,-3,5
0,9,0,0,1,0,0,10,1,-3,5
0,9,5,0,1,0,0,11,1,-3,5
0,0,0,0,1,1,0,11,1,-3,5
1,0,5,1,0,0,1,11,1,-3,5
0,7,1,0,0,0,0,11,1,-3,5
0,0,1,0,1,1,0,12,1,-3,5
0,7,5,0,0,0,0,12,1,-3,5
0,9,5,1,0,0,0,12,1,-3,5
1,0,0,0,1,0,1,12,1,-3,5
0,0,0,1,0,0,1,13,2,-1,6
0,7,5,0,1,0,0,13,2,-1,6
0,0,1,0,0,1,0,13,2,-1,6
1,9,1,0,1,0,0,13,2,-1,6
0,7,5,0,0,0,0,14,2,-1,6
0,0,1,0,1,1,0,14,2,-1,6
0,0,0,0,1,0,1,14,2,-1,6
1,9,5,1,0,0,0,14,2,-1,6
0,9,1,0,0,0,0,15,2,-1,6
0,0,1,0,0,1,0,15,2,-1,6
1,7,5,0,1,0,0,15,2,-1,6
0,0,0,1,0,0,1,15,2,-1,6
0,7,5,0,1,0,0,16,2,-1,6
0,9,1,0,0,0,0,16,2,-1,6
1,0,0,0,1,1,0,16,2,-1,6
0,0,1,1,0,0,1,16,2,-1,6
1,7,5,0,1,0,0,17,2,-1,6
0,9,1,1,0,0,0,17,2,-1,6
0,0,0,0,0,0,1,17,2,-1,6
0,0,5,0,1,1,0,17,2,-1,6
1,7,0,0,1,0,0,18,2,-1,6
0,9,5,0,1,0,0,18,2,-1,6
0,0,1,1,0,1,0,18,2,-1,6
0,0,5,0,0,0,1,18,2,-1,6
0,9,5,0,0,0,0,19,2,-1,6
1,7,1,0,1,0,0,19,2,-1,6
0,0,0,0,1,1,0,19,2,-1,6
0,0,0,1,0,0,1,19,2,-1,6
0,0,1,0,1,0,1,20,2,-1,6
0,9,1,0,0,0,0,20,2,-1,6
1,7,0,1,0,0,0,20,2,-1,6
0,0,5,0,1,1,0,20,2,-1,6
0,0,0,1,0,1,0,21,2,-1,6
0,9,1,0,1,0,0,21,2,-1,6
0,0,0,0,0,0,1,21,2,-1,6
1,7,5,0,1,0,0,21,2,-1,6
0,0,0,0,0,0,1,22,2,-1,6
0,9,0,0,0,0,0,22,2,-1,6
0,0,1,1,0,1,0,22,2,-1,6
1,7,5,0,1,0,0,22,2,-1,6
0,0,5,0,1,0,1,23,2,-1,6
0,9,0,0,0,0,0,23,2,-1,6
0,0,1,0,0,1,0,23,2,-1,6
1,7,5,1,0,0,0,23,2,-1,6
0,9,0,0,1,0,0,24,2,-1,6
1,7,1,0,0,0,0,24,2,-1,6
0,0,1,1,0,0,1,24,2,-1,6
0,0,5,0,0,1,0,24,2,-1,6
0,0,0,1,0,1,0,25,3,1,4
1,7,1,0,0,0,0,25,3,1,4
0,9,5,0,1,0,0,25,3,1,4
0,0,5,0,1,0,1,25,3,1,4
0,9,5,0,1,0,0,26,3,1,4
0,0,0,0,0,0,1,26,3,1,4
1,7,1,0,0,0,0,26,3,1,4
0,0,0,1,0,1,0,26,3,1,4
1,7,0,0,0,0,0,27,3,1,4
0,0,0,0,1,1,0,27,3,1,4
0,0,5,0,1,0,1,27,3,1,4
0,9,1,0,0,0,0,27,3,1,4
0,7,5,1,0,0,0,28,3,1,4
